ano,tipo_despesa,grupo_despesa,valor_nominal,linhas,candidatos,fator_ipca_2024,valor_2024,fracao_ano
2016,Publicidade por materiais impressos,Publicidade tradicional,22054134.93,76529,34422,1.4804412501104598,32649851.085873958,0.2650811423340656
2016,Cessão ou locação de veículos,Transporte e logística,18164266.4,13651,11655,1.4804412501104598,26891129.25655542,0.21832660869515616
2016,Serviços prestados por terceiros,Serviços profissionais,10708537.030000001,37335,26956,1.4804412501104598,15853359.947547352,0.12871197340765714
2016,Combustíveis e lubrificantes,Transporte e logística,7329422.49,50603,18419,1.4804412501104598,10850779.39368332,0.0880964813385311
2016,Publicidade por adesivos,Publicidade tradicional,5172831.890000001,28499,13127,1.4804412501104598,7658073.709842853,0.06217519711634791
2016,Publicidade por jornais e revistas,Publicidade tradicional,3868392.96,8979,5984,1.4804412501104598,5726928.509620902,0.04649640659625082
2016,Despesas com pessoal,Mobilização e pessoal,3072512.96,8390,2828,1.4804412501104598,4548674.927482989,0.03693027397620176
2016,Atividades de militância e mobilização de rua,Mobilização e pessoal,2312398.84,6996,2006,1.4804412501104598,3423370.629443577,0.027794031730772956
2016,Serviços próprios prestados por terceiros,Serviços profissionais,1951776.94,7187,5492,1.4804412501104598,2889491.0929903677,0.023459512806947674
2016,Diversas a especificar,Transferências e outros,1699652.7,6425,4240,1.4804412501104598,2516235.967941618,0.02042908872722576
2016,"Produção de jingles, vinhetas e slogans",Audiovisual,1507498.94,3793,3556,1.4804412501104598,2231763.6152737928,0.018119483822464897
2016,Locação/cessão de bens imóveis,Infraestrutura e administração,1072178.98,1690,1210,1.4804412501104598,1587297.9894933577,0.012887126595854798
2016,Correspondências e despesas postais,Publicidade tradicional,971255.6,1062,645,1.4804412501104598,1437886.8546407847,0.011674071314224897
2016,Publicidade por carros de som,Publicidade tradicional,915894.1900000001,1770,1410,1.4804412501104598,1355927.539612507,0.011008651162829071
2016,"Produção de programas de rádio, televisão ou vídeo",Audiovisual,882007.0,2675,2143,1.4804412501104598,1305759.5456861763,0.010601341827677038
2016,Eventos de promoção da candidatura,Mobilização e pessoal,313324.08999999997,317,127,1.4804412501104598,463857.9074893222,0.0037660197492036286
2016,Alimentação,Mobilização e pessoal,203163.84,1432,527,1.4804412501104598,300772.12926684145,0.0024419412939619364
2016,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Infraestrutura e administração,202644.53,11176,5344,1.4804412501104598,300003.32132124656,0.002435699412860617
2016,Materiais de expediente,Infraestrutura e administração,163839.35,1770,815,1.4804412501104598,242554.53213128517,0.0019692779696469736
2016,Criação e inclusão de páginas na internet,Digital estrito,149395.56,150,121,1.4804412501104598,221171.3496073522,0.0017956698746123723
2016,Doações financeiras a outros candidatos/partidos,Transferências e outros,134093.92,472,398,1.4804412501104598,198518.170557012,0.0016117507944190678
2016,Despesas com transporte ou deslocamento,Transporte e logística,125785.23000000001,203,149,1.4804412501104598,186217.64314663172,0.001511883942080932
2016,Locação/cessão de bens móveis (exceto veículos),Infraestrutura e administração,91406.66,208,184,1.4804412501104598,135322.18999882176,0.0010986684323211196
2016,Telefone,Infraestrutura e administração,27499.91,87,61,1.4804412501104598,40712.00113832513,0.0003305369981648151
2016,Comícios,Mobilização e pessoal,21976.15,123,108,1.4804412501104598,32534.398978614983,0.00026414379727859844
2016,Encargos sociais,Mobilização e pessoal,21866.309999999998,56,40,1.4804412501104598,32371.787311702843,0.000262823568089542
2016,Pré-instalação física de comitê de campanha,Infraestrutura e administração,17038.21,34,25,1.4804412501104598,25224.068912044535,0.00020479189886445933
2016,Aquisição/Doação de bens móveis ou imóveis,Transferências e outros,15665.29,31,23,1.4804412501104598,23191.541510942887,0.0001882899955665781
2016,"Impostos, contribuições e taxas",Infraestrutura e administração,10933.2,276,216,1.4804412501104598,16185.960275707681,0.00013141232492526545
2016,Energia elétrica,Infraestrutura e administração,5629.879999999999,325,199,1.4804412501104598,8334.706585171874,6.7668717287734e-05
2016,Despesas com Hospedagem,Transporte e logística,3569.2,11,10,1.4804412501104598,5283.990909894253,4.290023690440652e-05
2016,Reembolsos de gastos realizados por eleitores,Transferências e outros,2804.83,18,18,1.4804412501104598,4152.386031547321,3.3712840826119734e-05
2016,Água,Infraestrutura e administração,2686.92,149,85,1.4804412501104598,3977.827203746797,3.2295613735063315e-05
2016,Multas eleitorais,Transferências e outros,1013.33,2,2,1.4804412501104598,1500.1755319744323,1.2179787364771452e-05
2016,Pesquisas ou testes eleitorais,Serviços profissionais,577.5,6,6,1.4804412501104598,854.9548219387906,6.941299678441883e-06
2020,Publicidade por materiais impressos,Publicidade tradicional,21667306.7,58382,22370,1.2938901679256802,28035115.104560215,0.3106949798223015
2020,Atividades de militância e mobilização de rua,Mobilização e pessoal,6387046.4,10158,2998,1.2938901679256802,8264136.539045112,0.09158606004188345
2020,Despesas com pessoal,Mobilização e pessoal,6188506.21,9139,2729,1.2938901679256802,8007247.339266015,0.08873912381764262
2020,Serviços contábeis,Serviços profissionais,5468651.46,13751,12647,1.2938901679256802,7075834.355906417,0.07841687841248399
2020,Serviços prestados por terceiros,Serviços profissionais,4619625.77,5877,3246,1.2938901679256802,5977288.3632991,0.06624240637147273
2020,Publicidade por adesivos,Publicidade tradicional,4469969.18,18651,9329,1.2938901679256802,5783649.172932815,0.0640964289385542
2020,Publicidade por jornais e revistas,Publicidade tradicional,3065829.04,5871,4053,1.2938901679256802,3966846.051397027,0.043961979442577695
2020,Despesa com Impulsionamento de Conteúdos,Digital estrito,3023824.96,4643,2633,1.2938901679256802,3912497.385272263,0.04335966846001084
2020,Serviços advocatícios,Serviços profissionais,2607923.87,8014,7746,1.2938901679256802,3374367.05409169,0.03739591936305348
2020,Combustíveis e lubrificantes,Transporte e logística,2524085.67,14640,6343,1.2938901679256802,3265889.631415103,0.03619373451294758
2020,"Produção de jingles, vinhetas e slogans",Audiovisual,1885591.77,3908,3588,1.2938901679256802,2439748.651924581,0.02703815038226453
2020,"Produção de programas de rádio, televisão ou vídeo",Audiovisual,1546144.09,2486,2166,1.2938901679256802,2000540.636247398,0.02217069308595335
2020,Diversas a especificar,Transferências e outros,1217763.24,4168,2668,1.2938901679256802,1575651.8830973203,0.017461926879917218
2020,Locação/cessão de bens imóveis,Infraestrutura e administração,743307.57,449,393,1.2938901679256802,961758.3565677293,0.010658543475683294
2020,Criação e inclusão de páginas na internet,Digital estrito,729961.85,1233,991,1.2938901679256802,944490.4606758401,0.010467174596130115
2020,Cessão ou locação de veículos,Transporte e logística,729948.93,554,437,1.2938901679256802,944473.7436148707,0.010466989331796397
2020,Doações financeiras a outros candidatos/partidos,Transferências e outros,684410.8300000001,1149,881,1.2938901679256802,885552.4437588543,0.009814002818218964
2020,Correspondências e despesas postais,Publicidade tradicional,541138.03,455,349,1.2938901679256802,700173.1765076718,0.007759564750700187
2020,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Infraestrutura e administração,485759.57,36396,18443,1.2938901679256802,628519.5315988063,0.006965473922960617
2020,Serviços próprios prestados por terceiros,Serviços profissionais,299116.66000000003,332,191,1.2938901679256802,387024.1054367686,0.0042891368978136175
2020,Publicidade por carros de som,Publicidade tradicional,242509.21,280,244,1.2938901679256802,313780.28245042404,0.003477423158812455
2020,Alimentação,Mobilização e pessoal,120746.95000000001,790,238,1.2938901679256802,156233.29141201373,0.0017314321393648085
2020,Materiais de expediente,Infraestrutura e administração,94386.1,1188,452,1.2938901679256802,122125.24677885005,0.0013534348242278645
2020,Pré-instalação física de comitê de campanha,Infraestrutura e administração,61324.57000000001,44,31,1.2938901679256802,79347.25817527014,0.000879354148744353
2020,Despesas com transporte ou deslocamento,Transporte e logística,59555.5,99,76,1.2938901679256802,77058.27589589785,0.0008539868441889493
2020,Taxa de Administração de Financiamento Coletivo,Infraestrutura e administração,58145.34,678,376,1.2938901679256802,75233.68373669576,0.0008337660738452951
2020,Locação/cessão de bens móveis (exceto veículos),Infraestrutura e administração,56308.03,62,49,1.2938901679256802,72856.40639226424,0.000807420252406523
2020,"Impostos, contribuições e taxas",Infraestrutura e administração,34202.82,255,223,1.2938901679256802,44254.692513331815,0.0004904460262135768
2020,Aquisição/Doação de bens móveis ou imóveis,Transferências e outros,33903.0,81,32,1.2938901679256802,43866.75836318434,0.0004861468038810512
2020,Eventos de promoção da candidatura,Mobilização e pessoal,32818.880000000005,88,27,1.2938901679256802,42464.02615433276,0.0004706012334883567
2020,Água,Infraestrutura e administração,11896.369999999999,72,55,1.2938901679256802,15392.596177006024,0.00017058615029013423
2020,Encargos sociais,Mobilização e pessoal,10701.79,47,41,1.2938901679256802,13846.940860205366,0.00015345665588019337
2020,Multas eleitorais,Transferências e outros,9657.93,16,13,1.2938901679256802,12496.300669514465,0.00013848838750573462
2020,Comícios,Mobilização e pessoal,6244.5,25,20,1.2938901679256802,8079.69715361191,8.954203807436582e-05
2020,Telefone,Infraestrutura e administração,5857.3,36,21,1.2938901679256802,7578.702880591087,8.398984380062181e-05
2020,Despesas com Hospedagem,Transporte e logística,5214.1900000000005,49,45,1.2938901679256802,6746.5891746964035,7.476806782079871e-05
2020,Energia elétrica,Infraestrutura e administração,4377.76,46,35,1.2938901679256802,5664.340621538327,6.277420972062388e-05
2020,Despesa com geradores de energia,Infraestrutura e administração,3019.51,9,9,1.2938901679256802,3906.914300953271,4.329779476113834e-05
2020,Reembolsos de gastos realizados por eleitores,Transferências e outros,1013.2,9,9,1.2938901679256802,1310.9695181422992,1.4528624065489222e-05
2020,Pesquisas ou testes eleitorais,Serviços profissionais,399.0,3,2,1.2938901679256802,516.2621770023464,5.721398541383932e-06
2024,Publicidade por materiais impressos,Publicidade tradicional,41957605.81,74949,23494,1.0,41957605.81,0.29728232880683486
2024,Atividades de militância e mobilização de rua,Mobilização e pessoal,20979867.3,22346,5637,1.0,20979867.3,0.1486487059639584
2024,Despesas com pessoal,Mobilização e pessoal,14393543.46,14623,3986,1.0,14393543.46,0.10198260927822916
2024,Serviços prestados por terceiros,Serviços profissionais,12985773.45,8788,4932,1.0,12985773.45,0.09200813292482682
2024,Serviços contábeis,Serviços profissionais,8889626.24,13997,12876,1.0,8889626.24,0.06298569090945819
2024,Despesa com Impulsionamento de Conteúdos,Digital estrito,7151690.43,8231,3667,1.0,7151690.43,0.050671889992093766
2024,Serviços advocatícios,Serviços profissionais,5716072.0,8949,8665,1.0,5716072.0,0.040500099159198
2024,Publicidade por adesivos,Publicidade tradicional,5572226.5600000005,18315,8182,1.0,5572226.5600000005,0.03948091070537894
2024,Combustíveis e lubrificantes,Transporte e logística,3328655.8200000003,15113,5443,1.0,3328655.8200000003,0.02358453336081868
2024,"Produção de programas de rádio, televisão ou vídeo",Audiovisual,2964756.54,2790,2420,1.0,2964756.54,0.021006196887107226
2024,Publicidade por jornais e revistas,Publicidade tradicional,2766831.66,4482,2947,1.0,2766831.66,0.019603839242544253
2024,Diversas a especificar,Transferências e outros,2542988.93,4382,2728,1.0,2542988.93,0.018017845790910758
2024,"Produção de jingles, vinhetas e slogans",Audiovisual,2425850.65,3294,3052,1.0,2425850.65,0.017187885644268465
2024,Cessão ou locação de veículos,Transporte e logística,2036025.27,986,794,1.0,2036025.27,0.01442585490974097
2024,Locação/cessão de bens imóveis,Infraestrutura e administração,1947451.6,802,704,1.0,1947451.6,0.013798283665380493
2024,Criação e inclusão de páginas na internet,Digital estrito,961492.4199999999,1008,794,1.0,961492.4199999999,0.006812464634948134
2024,Doações financeiras a outros candidatos/partidos,Transferências e outros,933577.79,892,703,1.0,933577.79,0.006614681037577016
2024,Serviços próprios prestados por terceiros,Serviços profissionais,685832.59,615,378,1.0,685832.59,0.004859331355799855
2024,Correspondências e despesas postais,Publicidade tradicional,668903.1799999999,400,318,1.0,668903.1799999999,0.004739381365018297
2024,Publicidade por carros de som,Publicidade tradicional,567162.91,258,224,1.0,567162.91,0.004018520776928509
