ano,grupo_despesa,valor_nominal,valor_2024,linhas,fracao_ano
2016,Digital estrito,149395.56,221171.3496073522,150,0.001795669874612372
2016,Audiovisual,2389505.94,3537523.1609599693,6468,0.028720825650141935
2016,Publicidade tradicional,32982509.57,48828667.699591,116839,0.39643546852371825
2016,Mobilização e pessoal,5945242.1899999995,8801581.779973047,17314,0.0714592341155084
2016,Serviços profissionais,12660891.47,18743705.99535966,44528,0.15217842751428326
2016,Transporte e logística,25623043.32,37933410.28429527,64468,0.3079778742126726
2016,Infraestrutura e administração,1593857.64,2359612.597059707,15715,0.019157477963660845
2016,Transferências e outros,1853230.07,2743598.241573095,6948,0.022275022145402296
2020,Digital estrito,3753786.81,4856987.845948103,5876,0.053826843056140945
2020,Audiovisual,3431735.8600000003,4440289.288171979,6394,0.04920884346821787
2020,Publicidade tradicional,29986752.16,38799563.78784815,83639,0.42999037611294594
2020,Mobilização e pessoal,12746064.73,16492007.833891291,20247,0.18277021592633377
2020,Serviços profissionais,12995716.76,16815030.140910976,27977,0.18635006244336516
2020,Transporte e logística,3318804.29,4294168.240100568,15342,0.04758947875675372
2020,Infraestrutura e administração,1558584.94,2016637.7297430362,39235,0.022349086722654038
2020,Transferências e outros,1946748.2,2518878.355407016,5423,0.027915093513588455
2024,Digital estrito,8113182.85,8113182.85,9239,0.0574843546270419
2024,Audiovisual,5390607.1899999995,5390607.1899999995,6084,0.038194082531375684
2024,Publicidade tradicional,51532730.120000005,51532730.120000005,98404,0.3651249808967049
2024,Mobilização e pessoal,36040947.27,36040947.27,39036,0.25536101333685557
2024,Serviços profissionais,28291781.28,28291781.28,32354,0.20045582827339156
2024,Transporte e logística,5607020.3100000005,5607020.3100000005,16310,0.039727434948796506
2024,Infraestrutura e administração,2619473.76,2619473.76,6062,0.018559763947150636
2024,Transferências e outros,3541491.91,3541491.91,5320,0.025092541438683336
