ano,desfecho,preditor,rho_spearman,p_valor,municipios
2016,auc_receita,candidatos,0.5163029648343741,3.2778975140293484e-35,497
2016,auc_receita,candidatos_por_vaga,0.5117312149477184,1.6069356346813542e-34,497
2016,auc_receita,fracao_receita_zero,0.39889896882890913,2.0925451872115514e-20,497
2016,auc_receita,gini_receita,0.531099743711443,1.613705013155664e-37,497
2016,auc_receita,auc_receita_dentro_partido,0.7450957636885636,4.074714732606992e-89,497
2020,auc_receita,candidatos,0.6048624480092197,6.491193169072932e-51,497
2020,auc_receita,candidatos_por_vaga,0.5991957974463684,9.261789453274637e-50,497
2020,auc_receita,fracao_receita_zero,0.4494610027904071,4.3854003217450726e-26,497
2020,auc_receita,gini_receita,0.5175522217293361,2.114031050349644e-35,497
2020,auc_receita,auc_receita_dentro_partido,0.8357705509864972,5.638190745087816e-131,497
2024,auc_receita,candidatos,0.6205333594084437,3.1338922443690066e-54,497
2024,auc_receita,candidatos_por_vaga,0.613750385453383,9.001930606950392e-53,497
2024,auc_receita,fracao_receita_zero,0.3164817510407009,5.039311882102769e-13,497
2024,auc_receita,gini_receita,0.48306520193330593,2.018833498689766e-30,497
2024,auc_receita,auc_receita_dentro_partido,0.8082270088698329,6.403532510288347e-116,497
