ano,modelo,parametro,beta,erro_padrao_cluster,odds_ratio,or_ic95_inferior,or_ic95_superior,p_valor,log_verossimilhanca,n,municipios,convergiu,gradiente_maximo
2016,Total,Despesa total: dobro,1.2975000613020438,0.031165658032238957,3.660135107326547,3.443248549509039,3.8906831183576593,0.0,-8430.544667337717,25622,497,True,2.9377786878725942e-06
2016,Total + fração digital,Despesa total: dobro,1.2983118926339263,0.031137103154255802,3.6631077261548857,3.4462378936748737,3.8936250564835606,0.0,-8429.78872396516,25622,497,True,7.576792871333282e-06
2016,Total + fração digital,Fração digital: +10 p.p.,-0.2561188045586235,0.13322411997470213,0.7740500026604401,0.5961648359859967,1.0050129938101562,0.05454718222065066,-8429.78872396516,25622,497,True,7.576792871333282e-06
2020,Total,Despesa total: dobro,1.08270886562993,0.02474449482134765,2.9526671060147396,2.812882211670309,3.099398546718564,0.0,-9545.044886259582,30311,497,True,3.1081004356892095e-06
2020,Total + fração digital,Despesa total: dobro,1.0832319010013918,0.024959682202580925,2.954211859296424,2.8131670813432104,3.1023282504217833,0.0,-9545.013044501498,30311,497,True,4.716558429512796e-06
2020,Total + fração digital,Fração digital: +10 p.p.,-0.006053097654851014,0.02649718296094489,0.9939651854323871,0.9436616711728241,1.0469502153496935,0.8193018143909387,-9545.013044501498,30311,497,True,4.716558429512796e-06
2020,Total + adoção + fração digital,Despesa total: dobro,1.0750590261233302,0.025316319037479443,2.930165851760275,2.7883193778692057,3.079228293203349,0.0,-9544.208039591125,30311,497,True,2.5738910825107153e-05
2020,Total + adoção + fração digital,Qualquer gasto digital,0.1141637087912956,0.09637654983580604,1.1209356168790763,0.927989993716748,1.3539980664614775,0.23619185866071668,-9544.208039591125,30311,497,True,2.5738910825107153e-05
2020,Total + adoção + fração digital,Fração digital: +10 p.p.,-0.030470224780232535,0.03544514755077577,0.9699893132822112,0.9048892540553348,1.0397728381291618,0.38998505824347296,-9544.208039591125,30311,497,True,2.5738910825107153e-05
2024,Total,Despesa total: dobro,0.8906674541824362,0.02897198754803314,2.436755531300249,2.3022395316215696,2.5791310755315355,1.5466362857184771e-207,-9381.787572200552,26041,497,True,3.246997555450548e-05
2024,Total + fração digital,Despesa total: dobro,0.8894850438962641,0.029008241263158516,2.433875989230723,2.2993555568973294,2.576266342621294,1.7632929091840596e-206,-9381.578421182008,26041,497,True,1.0862533983413414e-08
2024,Total + fração digital,Fração digital: +10 p.p.,0.014878313386759606,0.02272802872004614,1.0149895464602352,0.9707671702593027,1.0612264309972237,0.5127098590962931,-9381.578421182008,26041,497,True,1.0862533983413414e-08
2024,Total + adoção + fração digital,Despesa total: dobro,0.8664194128969783,0.030343558944476913,2.3783795938798695,2.24105343178483,2.524120760511741,2.5305090315186773e-179,-9374.281996501466,26041,497,True,3.662184461461493e-06
2024,Total + adoção + fração digital,Qualquer gasto digital,0.31023938225829717,0.07852942814910312,1.3637515329829,1.1692022785755438,1.5906727841644759,7.795127248151944e-05,-9374.281996501466,26041,497,True,3.662184461461493e-06
2024,Total + adoção + fração digital,Fração digital: +10 p.p.,-0.05323731741331613,0.028226001259760523,0.9481549720949527,0.8971248146086483,1.0020878215263158,0.05928025629018013,-9374.281996501466,26041,497,True,3.662184461461493e-06
