ano,indicador,auc,candidatos,eleitos
2016,Receita,0.9567510548523206,337,21
2016,Despesa total,0.956298975286317,337,21
2016,Despesa não digital,0.9564496684749849,337,21
2016,Despesa digital,0.5223025919228451,337,21
2016,Fração digital,0.5223025919228451,337,21
2020,Receita,0.9222065063649222,425,21
2020,Despesa total,0.8916784535596417,425,21
2020,Despesa não digital,0.8860796793965111,425,21
2020,Despesa digital,0.6481612446958982,425,21
2020,Fração digital,0.6082036775106082,425,21
2024,Receita,0.9204287775716347,252,21
2024,Despesa total,0.9154813440527726,252,21
2024,Despesa não digital,0.9020820449391878,252,21
2024,Despesa digital,0.8356009070294784,252,21
2024,Fração digital,0.7559266130694702,252,21
