ano,quartil_receita,candidatos,eleitos,taxa_eleicao,receita_mediana_2024
2016,Q1: menor,85,0,0.0,0.0
2016,Q2,84,0,0.0,878.160738534272
2016,Q3,84,0,0.0,2110.2505667324517
2016,Q4: maior,84,21,0.25,14589.785530869834
2020,Q1: menor,107,0,0.0,388.1670503777041
2020,Q2,106,0,0.0,1765.2543561010054
2020,Q3,106,2,0.018867924528301886,4861.792305980744
2020,Q4: maior,106,19,0.1792452830188679,18099.32383599479
2024,Q1: menor,63,0,0.0,971.5
2024,Q2,63,0,0.0,5500.0
2024,Q3,63,2,0.031746031746031744,15400.0
2024,Q4: maior,63,19,0.30158730158730157,50016.71
