ano,partido,ideologia,ideologia_sensibilidade,criterio
2016,PHS,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PMDB,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PMN,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PPS,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PROS,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PSDB,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PT do B,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PTC,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PV,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,SD,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,DEM,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,NOVO,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PATRIOTA,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PP,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PR,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PRB,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PRP,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PRTB,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PSC,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PSD,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PSDC,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PSL,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PTB,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PTN,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PC do B,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PCB,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PCO,Esquerda,Esquerda,Complemento por continuidade partidária/literatura; testar exclusão
2016,PDT,Esquerda,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PPL,Esquerda,Esquerda,Complemento por continuidade partidária/literatura; testar exclusão
2016,PSB,Esquerda,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PSOL,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PSTU,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,PT,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2016,REDE,Esquerda,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,AVANTE,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,CIDADANIA,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,MDB,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PROS,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PSDB,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PTC,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PV,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,SOLIDARIEDADE,Centro,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,DC,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,DEM,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,NOVO,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PATRIOTA,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PL,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PODE,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PP,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PRTB,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PSC,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PSD,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PSL,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PTB,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,REPUBLICANOS,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PC do B,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PCB,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PCO,Esquerda,Esquerda,Complemento por continuidade partidária/literatura; testar exclusão
2020,PDT,Esquerda,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2020,PSB,Esquerda,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
