ano,quartil_competicao,municipios,min_candidatos,max_candidatos,mediana_candidatos,mediana_fracao_publica,mediana_gini,mediana_auc
2016,Q1: menos candidatos,140,10,25,22.0,0.01219963317610381,0.22886616007551286,0.6981646825396826
2016,Q2,119,26,33,30.0,0.017882675091034084,0.27629382863543217,0.7111111111111111
2016,Q3,116,34,52,39.0,0.028721693788957493,0.3490154038442147,0.7554320987654322
2016,Q4: mais candidatos,122,53,575,90.5,0.04907565769601298,0.552026927191891,0.880916165756018
2020,Q1: menos candidatos,144,12,27,23.0,0.08716986218433206,0.2488527456660512,0.6111111111111112
2020,Q2,107,28,35,31.0,0.17525392010955626,0.27715998085877547,0.6322751322751322
2020,Q3,123,36,62,44.0,0.22678138176511087,0.3774254972104767,0.708994708994709
2020,Q4: mais candidatos,123,64,852,99.0,0.3506176956801291,0.5460504907459958,0.8440545808966862
2024,Q1: menos candidatos,134,11,25,20.0,0.6065601518473969,0.26941632492235423,0.5739087301587301
2024,Q2,118,26,35,30.0,0.61719803311603,0.307104804104819,0.5921900161030595
2024,Q3,121,36,55,43.0,0.617571659187531,0.38186293128448545,0.6895424836601307
2024,Q4: mais candidatos,124,56,511,93.0,0.6379909281546505,0.5014914296992753,0.827014652014652
