modelo,parametro,beta,erro_padrao_cluster,odds_ratio,or_ic95_inferior,or_ic95_superior,p_valor,n,estratos_municipio_ano,clusters_municipio,convergiu,gradiente_maximo
Logit condicional — receita total por ano,receita_2016,1.3033483804773138,0.03143393754844482,3.6816034613622386,3.46162406842863,3.9155621115343155,0.0,81974,1491,497,True,1.5455431067401548e-05
Logit condicional — receita total por ano,receita_2020,1.08125118715746,0.03235957392124898,2.948366202166963,2.767173555742031,3.141423220109303,8.6884520993015e-245,81974,1491,497,True,1.5455431067401548e-05
Logit condicional — receita total por ano,receita_2024,0.9551563148712381,0.03019829177242732,2.5990768255271344,2.449705131925327,2.7575565144377223,1.452379411541474e-219,81974,1491,497,True,1.5455431067401548e-05
Logit condicional — inclinação comum,receita_comum,1.1035663224909062,0.021784665653143524,3.0148989760124985,2.888878538381047,3.1464167547366366,0.0,81974,1491,497,True,0.0003327174318261683
Logit FE exploratório — origens simultâneas,Pessoas físicas — 2016,0.5569775806162617,0.02482945737431419,1.7453892219599583,1.6624822954912661,1.8324306637104832,1.912642334398839e-111,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Pessoas físicas — 2020,0.6742143461444408,0.023514808202522268,1.9624905318827428,1.8740939614383851,2.0550565590497114,8.549841392422414e-181,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Pessoas físicas — 2024,0.6133229595610779,0.024483953836682046,1.846557250236223,1.7600362581178475,1.9373314968217272,1.7459982603717335e-138,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Recursos próprios — 2016,0.9954438545163229,0.029246038598817067,2.7059251118577463,2.5551773109060103,2.86556658112549,6.346963503781176e-254,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Recursos próprios — 2020,0.9017752008617353,0.04508797495764411,2.4639732785341932,2.255570129273147,2.6916318134107238,5.4689288701904234e-89,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Recursos próprios — 2024,0.8259892945198526,0.04772077157787563,2.284139334476235,2.080184480289619,2.5080912528369343,4.037414156187606e-67,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Fundo Partidário — 2016,0.5299318611996828,0.04592709048619934,1.6988165493531149,1.5525748773610843,1.8588331618899618,8.433844003532184e-31,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Fundo Partidário — 2020,0.14749284361224746,0.06657665891841355,1.158924991083462,1.0171479589037562,1.320463874700543,0.02673374057263732,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Fundo Partidário — 2024,0.25949672533195806,0.062371320011128106,1.2962775388261036,1.147113673289878,1.4648377896550766,3.1753270264843355e-05,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,FEFC — 2020,0.2520414998297652,0.026808056769346323,1.2866494319092907,1.2207894120643505,1.3560625151827883,5.368483968327098e-21,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,FEFC — 2024,0.467079796261485,0.020578366316609583,1.5953286996041212,1.5322637212027106,1.66098930919208,4.7298723589444185e-114,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Transferências políticas — 2016,0.3167277089888287,0.049213266787782206,1.3726287665610384,1.2464128503884577,1.51162572674349,1.2280879211654304e-10,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Transferências políticas — 2020,0.4786417324484997,0.06595022307824429,1.6138808308372232,1.4181869998844767,1.8365782060870774,3.9395715461728976e-13,81974,1491,497,True,0.013225635855456552
Logit FE exploratório — origens simultâneas,Transferências políticas — 2024,0.44760889780269764,0.05982521104837082,1.56456667051647,1.391457117642095,1.7592125804344219,7.323097598956253e-14,81974,1491,497,True,0.013225635855456552
