classificacao,ano,ideologia,fonte,candidatos,valor_total_nominal,participacao_na_receita_bloco,taxa_acesso
Principal,2016,Centro,Pessoas físicas,7984,8170929.55,0.3305581906649722,0.6956412825651302
Principal,2016,Centro,Recursos próprios,7984,12716536.99,0.5144525397283094,0.7675350701402806
Principal,2016,Centro,Fundo Partidário,7984,888600.29,0.035948676621103605,0.33855210420841686
Principal,2016,Centro,FEFC,7984,0.0,0.0,0.0
Principal,2016,Centro,Transferências políticas,7984,2933355.83,0.11867007172291037,0.37662825651302606
Principal,2016,Centro,Financiamento coletivo,7984,0.0,0.0,0.0
Principal,2016,Centro,Empresas,7984,0.0,0.0,0.0
Principal,2016,Centro,Outros,7984,9158.76,0.00037052126270440317,0.002630260521042084
Principal,2016,Direita,Pessoas físicas,9186,9618254.919999998,0.32432253117718657,0.6780971042891356
Principal,2016,Direita,Recursos próprios,9186,14094509.14,0.47525948501111176,0.7694317439581972
Principal,2016,Direita,Fundo Partidário,9186,3827658.7,0.12906665173586185,0.40605268887437407
Principal,2016,Direita,FEFC,9186,0.0,0.0,0.0
Principal,2016,Direita,Transferências políticas,9186,2114025.24,0.07128382669329994,0.37274112780317875
Principal,2016,Direita,Financiamento coletivo,9186,0.0,0.0,0.0
Principal,2016,Direita,Empresas,9186,0.0,0.0,0.0
Principal,2016,Direita,Outros,9186,2001.9699999999998,6.750538253989136e-05,0.0025038101458741565
Principal,2016,Esquerda,Pessoas físicas,8452,10902318.940000001,0.3790046151465779,0.7102460955986749
Principal,2016,Esquerda,Recursos próprios,8452,14879721.65,0.517273729422417,0.7814718409843824
Principal,2016,Esquerda,Fundo Partidário,8452,885303.99,0.030776415537305847,0.21225745385707526
Principal,2016,Esquerda,FEFC,8452,0.0,0.0,0.0
Principal,2016,Esquerda,Transferências políticas,8452,2093095.57,0.07276368315205949,0.37789872219592996
Principal,2016,Esquerda,Financiamento coletivo,8452,0.0,0.0,0.0
Principal,2016,Esquerda,Empresas,8452,0.0,0.0,0.0
Principal,2016,Esquerda,Outros,8452,5222.6,0.00018155674163982196,0.0024846190250828208
Principal,2020,Centro,Pessoas físicas,7702,7756169.9399999995,0.3134817992342765,0.4823422487665541
Principal,2020,Centro,Recursos próprios,7702,6704395.569999999,0.27097214247756835,0.6574915606336017
Principal,2020,Centro,Fundo Partidário,7702,586021.5900000001,0.02368528588780915,0.12308491300960789
Principal,2020,Centro,FEFC,7702,7783870.73,0.31460138448789865,0.3665281745001298
Principal,2020,Centro,Transferências políticas,7702,1729029.34,0.06988233014812639,0.34121007530511555
Principal,2020,Centro,Financiamento coletivo,7702,172902.67,0.006988222344701536,0.006232147494157362
Principal,2020,Centro,Empresas,7702,0.0,0.0,0.0
Principal,2020,Centro,Outros,7702,9620.57,0.0003888354196194035,0.003245910153206959
Principal,2020,Direita,Pessoas físicas,13740,13337080.84,0.2963539545545638,0.42605531295487625
Principal,2020,Direita,Recursos próprios,13740,10163843.049999999,0.22584365480530588,0.5989082969432314
Principal,2020,Direita,Fundo Partidário,13740,1028210.8099999999,0.02284715398480341,0.051455604075691413
Principal,2020,Direita,FEFC,13740,17436489.270000003,0.38744404496784324,0.4115720524017467
Principal,2020,Direita,Transferências políticas,13740,2763744.87,0.06141124369194338,0.29723435225618633
Principal,2020,Direita,Financiamento coletivo,13740,249916.40999999997,0.005553217926778326,0.007205240174672489
Principal,2020,Direita,Empresas,13740,0.0,0.0,0.0
Principal,2020,Direita,Outros,13740,24604.98,0.0005467300687618799,0.0031295487627365356
Principal,2020,Esquerda,Pessoas físicas,8869,8980682.65,0.3083224409887468,0.4823542676739204
Principal,2020,Esquerda,Recursos próprios,8869,7278644.23,0.24988850442034685,0.640658473334085
Principal,2020,Esquerda,Fundo Partidário,8869,947058.47,0.032514162966160234,0.2217837411207577
Principal,2020,Esquerda,FEFC,8869,9978149.379999999,0.3425672071144781,0.5496673807644605
Principal,2020,Esquerda,Transferências políticas,8869,1539135.22,0.05284118663764962,0.3231480437478859
Principal,2020,Esquerda,Financiamento coletivo,8869,395571.54999999993,0.013580658690985152,0.017476603901229
Principal,2020,Esquerda,Empresas,8869,0.0,0.0,0.0
Principal,2020,Esquerda,Outros,8869,8325.800000000001,0.0002858391816332702,0.0034953207802458
Principal,2024,Centro,Pessoas físicas,6287,8458016.13,0.22378668676552682,0.3931923015746779
Principal,2024,Centro,Recursos próprios,6287,5457665.9399999995,0.14440182655287326,0.5000795291872117
Principal,2024,Centro,Fundo Partidário,6287,475002.10000000003,0.012567858057001299,0.03467472562430412
Principal,2024,Centro,FEFC,6287,22179493.02,0.58683681619852,0.7378717989502147
Principal,2024,Centro,Transferências políticas,6287,1160339.32,0.03070087452606506,0.19850485128041992
Principal,2024,Centro,Financiamento coletivo,6287,54645.130000000005,0.0014458298970602096,0.004135517735008748
Principal,2024,Centro,Empresas,6287,0.0,0.0,0.0
Principal,2024,Centro,Outros,6287,9830.78,0.0002601080029532653,0.0034992842373150947
Principal,2024,Direita,Pessoas físicas,13024,14851350.0,0.1734762077384883,0.3657862407862408
Principal,2024,Direita,Recursos próprios,13024,8950305.129999999,0.10454706084327264,0.45715601965601965
Principal,2024,Direita,Fundo Partidário,13024,2346919.59,0.027413986630196428,0.06902641277641278
Principal,2024,Direita,FEFC,13024,56102818.55,0.6553279133206418,0.6884213759213759
Principal,2024,Direita,Transferências políticas,13024,3034688.29,0.03544770113273189,0.2092291154791155
Principal,2024,Direita,Financiamento coletivo,13024,294540.39,0.003440478467143752,0.005988943488943489
Principal,2024,Direita,Empresas,13024,0.0,0.0,0.0
Principal,2024,Direita,Outros,13024,29676.97,0.0003466518675250994,0.0023034398034398034
Principal,2024,Esquerda,Pessoas físicas,6730,9322313.77,0.2114192883846817,0.4323922734026746
Principal,2024,Esquerda,Recursos próprios,6730,5394485.92,0.12234069808697126,0.5325408618127786
Principal,2024,Esquerda,Fundo Partidário,6730,895630.18,0.02031185604595289,0.040416047548291235
Principal,2024,Esquerda,FEFC,6730,27133392.869999997,0.6153539511293874,0.7491827637444279
Principal,2024,Esquerda,Transferências políticas,6730,1136751.44,0.02578020719367636,0.1863298662704309
Principal,2024,Esquerda,Financiamento coletivo,6730,197169.2,0.004471569288895217,0.01099554234769688
Principal,2024,Esquerda,Empresas,6730,0.0,0.0,0.0
Principal,2024,Esquerda,Outros,6730,14217.21,0.00032242987043500684,0.005200594353640416
"PDT, PSB e REDE no centro",2016,Centro,Pessoas físicas,13339,13961838.83,0.33447859171700584,0.6947297398605593
"PDT, PSB e REDE no centro",2016,Centro,Recursos próprios,13339,21870886.33,0.523952707686507,0.7764450108703801
"PDT, PSB e REDE no centro",2016,Centro,Fundo Partidário,13339,1626096.2799999998,0.03895578514786952,0.3272359247319889
"PDT, PSB e REDE no centro",2016,Centro,FEFC,13339,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2016,Centro,Transferências políticas,13339,4273021.19,0.10236718296282787,0.38691056301072047
"PDT, PSB e REDE no centro",2016,Centro,Financiamento coletivo,13339,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2016,Centro,Empresas,13339,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2016,Centro,Outros,13339,10257.390000000001,0.00024573248578977464,0.0023240122947747206
"PDT, PSB e REDE no centro",2016,Direita,Pessoas físicas,9186,9618254.919999998,0.32432253117718657,0.6780971042891356
"PDT, PSB e REDE no centro",2016,Direita,Recursos próprios,9186,14094509.14,0.47525948501111176,0.7694317439581972
"PDT, PSB e REDE no centro",2016,Direita,Fundo Partidário,9186,3827658.7,0.12906665173586185,0.40605268887437407
"PDT, PSB e REDE no centro",2016,Direita,FEFC,9186,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2016,Direita,Transferências políticas,9186,2114025.24,0.07128382669329994,0.37274112780317875
"PDT, PSB e REDE no centro",2016,Direita,Financiamento coletivo,9186,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2016,Direita,Empresas,9186,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2016,Direita,Outros,9186,2001.9699999999998,6.750538253989136e-05,0.0025038101458741565
"PDT, PSB e REDE no centro",2016,Esquerda,Pessoas físicas,3097,5111409.66,0.4353046253481737,0.7394252502421699
"PDT, PSB e REDE no centro",2016,Esquerda,Recursos próprios,3097,5725372.3100000005,0.48759172403789647,0.7671940587665482
"PDT, PSB e REDE no centro",2016,Esquerda,Fundo Partidário,3097,147808.0,0.012587820257682665,0.042621892153697126
"PDT, PSB e REDE no centro",2016,Esquerda,FEFC,3097,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2016,Esquerda,Transferências políticas,3097,753430.21,0.06416461937234862,0.33580884727155313
"PDT, PSB e REDE no centro",2016,Esquerda,Financiamento coletivo,3097,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2016,Esquerda,Empresas,3097,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2016,Esquerda,Outros,3097,4123.97,0.0003512109838985412,0.003551824346141427
"PDT, PSB e REDE no centro",2020,Centro,Pessoas físicas,13481,13161903.31,0.32802226396020934,0.47652251316667904
"PDT, PSB e REDE no centro",2020,Centro,Recursos próprios,13481,11803002.14,0.2941555937847104,0.6645649432534678
"PDT, PSB e REDE no centro",2020,Centro,Fundo Partidário,13481,1179052.6099999999,0.029384466467440844,0.20992507974185892
"PDT, PSB e REDE no centro",2020,Centro,FEFC,13481,10817442.39,0.26959337562759667,0.4009346487649284
"PDT, PSB e REDE no centro",2020,Centro,Transferências políticas,13481,2893318.58,0.07210757354893059,0.35865291892292855
"PDT, PSB e REDE no centro",2020,Centro,Financiamento coletivo,13481,254482.59,0.006342240430138649,0.006601884133224538
"PDT, PSB e REDE no centro",2020,Centro,Empresas,13481,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2020,Centro,Outros,13481,15828.77,0.00039448618097358154,0.003189674356501743
"PDT, PSB e REDE no centro",2020,Direita,Pessoas físicas,13740,13337080.84,0.2963539545545638,0.42605531295487625
"PDT, PSB e REDE no centro",2020,Direita,Recursos próprios,13740,10163843.049999999,0.22584365480530588,0.5989082969432314
"PDT, PSB e REDE no centro",2020,Direita,Fundo Partidário,13740,1028210.8099999999,0.02284715398480341,0.051455604075691413
"PDT, PSB e REDE no centro",2020,Direita,FEFC,13740,17436489.270000003,0.38744404496784324,0.4115720524017467
"PDT, PSB e REDE no centro",2020,Direita,Transferências políticas,13740,2763744.87,0.06141124369194338,0.29723435225618633
"PDT, PSB e REDE no centro",2020,Direita,Financiamento coletivo,13740,249916.40999999997,0.005553217926778326,0.007205240174672489
"PDT, PSB e REDE no centro",2020,Direita,Empresas,13740,0.0,0.0,0.0
"PDT, PSB e REDE no centro",2020,Direita,Outros,13740,24604.98,0.0005467300687618799,0.0031295487627365356
"PDT, PSB e REDE no centro",2020,Esquerda,Pessoas físicas,3090,3574949.2800000003,0.26009945593464623,0.5077669902912622
"PDT, PSB e REDE no centro",2020,Esquerda,Recursos próprios,3090,2180037.66,0.15861109203849721,0.5783171521035598
"PDT, PSB e REDE no centro",2020,Esquerda,Fundo Partidário,3090,354027.45,0.02575766533138903,0.02750809061488673
"PDT, PSB e REDE no centro",2020,Esquerda,FEFC,3090,6944577.72,0.5052605632122048,0.7420711974110032
"PDT, PSB e REDE no centro",2020,Esquerda,Transferências políticas,3090,374845.98,0.027272340898019474,0.21326860841423947
"PDT, PSB e REDE no centro",2020,Esquerda,Financiamento coletivo,3090,313991.63,0.02284481421538734,0.036893203883495145
