ano,fonte,chi2,p_valor,v_cramer,observacao,p_bh
2016,Pessoas físicas,21.548528218564126,2.0931316794275444e-05,0.029000286806634728,,3.0591924545479494e-05
2016,Recursos próprios,5.47419171727809,0.06475814086640624,0.014616839835028074,,0.07690029227885742
2016,Fundo Partidário,774.5939857328672,6.295832141087523e-169,0.1738723591856109,,5.981040534033147e-168
2016,FEFC,,,,Nenhum recebedor,
2016,Transferências políticas,0.5462123861058397,0.7610119691535171,0.004617152920267628,,0.8505427890539309
2016,Financiamento coletivo,,,,Nenhum recebedor,
2016,Empresas,,,,Nenhum recebedor,
2016,Outros,0.04060547549283292,0.9799019750825,0.00125888421151364,,0.9799019750825001
2020,Pessoas físicas,95.93103922838898,1.4751612984295555e-21,0.05625737220986938,,4.004009238594508e-21
2020,Recursos próprios,83.83905836166257,6.231316246812101e-19,0.052592408939562116,,1.479937608617874e-18
2020,Fundo Partidário,1487.4491572985476,0.0,0.22152407547248765,,0.0
2020,FEFC,646.4987073511891,4.117081080082901e-141,0.1460439928774998,,2.607484684052504e-140
2020,Transferências políticas,47.12986395187673,5.832840173467007e-11,0.039431923334678355,,1.0074905754170284e-10
2020,Financiamento coletivo,72.22088589040558,2.0769875334845514e-16,0.04881252497178496,,3.9462763136206474e-16
2020,Empresas,,,,Nenhum recebedor,
2020,Outros,0.2228048752862778,0.8945786643488131,0.0027112040995414055,,0.9442774790348581
2024,Pessoas físicas,83.21916574156658,8.495476931009974e-19,0.05653050304339401,,1.7934895743243277e-18
2024,Recursos próprios,106.60548522578671,7.094356571932771e-24,0.06398246191581948,,2.695855497334453e-23
2024,Fundo Partidário,129.10816046887217,9.215505652620752e-29,0.07041221686426266,,4.377365184994857e-28
2024,FEFC,99.96038948500598,1.9673300193894407e-22,0.06195625249965623,,6.229878394733229e-22
2024,Transferências políticas,14.756809526247483,0.0006245964710146942,0.02380495731383102,,0.0008476666392342278
2024,Financiamento coletivo,25.282548509079135,3.2356709292161383e-06,0.03115886257778672,,5.1231456379255525e-06
2024,Empresas,,,,Nenhum recebedor,
2024,Outros,11.247541466632375,0.0036109992899714095,0.020782604489931175,,0.004573932433963785
