ano,codigo_municipio,lista_id,votos_nominais_validos_lista,votos_legenda_validos_lista,votos_validos_lista,partidos_na_lista,votos_validos_municipio,fracao_votos_lista
2016,84735,COLIGACAO:210000001232,1423,74,1497,4,2754,0.5435729847494554
2016,84735,COLIGACAO:210000002148,1207,50,1257,2,2754,0.4564270152505447
2016,84743,COLIGACAO:210000000272,805,35,840,5,2293,0.3663323157435674
2016,84743,COLIGACAO:210000000700,1303,150,1453,4,2293,0.6336676842564326
2016,84751,COLIGACAO:210000000257,1200,30,1230,2,2807,0.4381902386889918
2016,84751,COLIGACAO:210000000322,1540,37,1577,4,2807,0.5618097613110082
2016,84760,COLIGACAO:210000001457,893,28,921,3,4505,0.2044395116537181
2016,84760,COLIGACAO:210000002315,2652,90,2742,2,4505,0.6086570477247503
2016,84760,PARTIDO:PTB,781,61,842,1,4505,0.18690344062153164
2016,84778,COLIGACAO:210000000621,1063,78,1141,3,2073,0.5504100337674868
2016,84778,PARTIDO:PMDB,870,62,932,1,2073,0.44958996623251324
2016,84786,COLIGACAO:210000001026,1167,84,1251,3,2809,0.4453542185831257
2016,84786,PARTIDO:PP,1211,50,1261,1,2809,0.44891420434318263
2016,84786,PARTIDO:PT,276,21,297,1,2809,0.1057315770736917
2016,84794,COLIGACAO:210000000543,1100,29,1129,2,2302,0.49044309296264116
2016,84794,COLIGACAO:210000001530,1141,32,1173,6,2302,0.5095569070373588
2016,84808,COLIGACAO:210000001280,767,26,793,3,1633,0.4856093080220453
2016,84808,COLIGACAO:210000001419,807,33,840,3,1633,0.5143906919779547
2016,84816,COLIGACAO:210000000111,2199,156,2355,2,12386,0.190134022283223
2016,84816,COLIGACAO:210000000138,3237,124,3361,2,12386,0.271354755368965
2016,84816,COLIGACAO:210000000140,1995,41,2036,4,12386,0.16437913773615373
2016,84816,COLIGACAO:210000000903,1851,74,1925,2,12386,0.15541740674955595
2016,84816,COLIGACAO:210000001247,1197,44,1241,6,12386,0.10019376715646698
2016,84816,PARTIDO:PROS,1454,14,1468,1,12386,0.11852091070563539
2016,84824,COLIGACAO:210000000961,711,39,750,3,2573,0.2914885347842985
2016,84824,COLIGACAO:210000001065,567,8,575,3,2573,0.22347454333462885
2016,84824,COLIGACAO:210000001112,1204,44,1248,3,2573,0.48503692188107267
2016,84832,COLIGACAO:210000002324,1172,45,1217,4,2310,0.5268398268398269
2016,84832,PARTIDO:PDT,144,15,159,1,2310,0.06883116883116883
2016,84832,PARTIDO:PP,880,54,934,1,2310,0.4043290043290043
2016,84840,COLIGACAO:210000000399,1804,74,1878,2,2987,0.6287244727150988
2016,84840,COLIGACAO:210000001302,1055,54,1109,3,2987,0.37127552728490126
2016,84859,COLIGACAO:210000001339,2375,114,2489,3,3770,0.660212201591512
2016,84859,COLIGACAO:210000002458,956,325,1281,4,3770,0.33978779840848805
2016,84867,COLIGACAO:210000000169,733,31,764,4,1325,0.5766037735849057
2016,84867,COLIGACAO:210000001517,544,17,561,3,1325,0.42339622641509433
2016,84875,PARTIDO:PDT,507,9,516,1,2998,0.17211474316210806
2016,84875,PARTIDO:PMDB,1494,44,1538,1,2998,0.5130086724482988
2016,84875,PARTIDO:PP,724,37,761,1,2998,0.25383589059372913
2016,84875,PARTIDO:PSB,161,22,183,1,2998,0.06104069379586391
2016,84883,COLIGACAO:210000002296,1269,16,1285,2,3707,0.3466414890747235
2016,84883,PARTIDO:PDT,100,10,110,1,3707,0.02967359050445104
2016,84883,PARTIDO:PP,1580,130,1710,1,3707,0.46128945238737523
2016,84883,PARTIDO:PT,585,17,602,1,3707,0.16239546803345023
2016,84891,COLIGACAO:210000000152,2621,152,2773,2,6085,0.45571076417419887
2016,84891,COLIGACAO:210000000182,827,11,838,2,6085,0.13771569433032047
2016,84891,COLIGACAO:210000002662,765,71,836,3,6085,0.13738701725554642
2016,84891,COLIGACAO:210000002668,1601,37,1638,3,6085,0.2691865242399343
2016,84905,COLIGACAO:210000000819,1420,63,1483,2,2943,0.5039075773020727
2016,84905,COLIGACAO:210000001617,989,74,1063,4,2943,0.36119605844376484
