ano,recurso,efeito_fixo,modelo,beta_log2_votos,erro_padrao_cluster,multiplicador_votos_por_dobro_recurso,ic95_inferior_multiplicador,ic95_superior_multiplicador,p_valor,r2_within,n,grupos,municipios
2016,Receita,Município,FE município,1.0374467094989275,0.01985111295262027,2.052591747416976,1.9979749956156418,2.1087015056792886,0.0,0.32607739221218746,25622,497,497
2016,Receita,Lista,FE lista eleitoral,1.0695209145541502,0.03036146490857566,2.098736310031649,2.0139284702952853,2.1871154631422622,7.92477605099653e-272,0.34049488165611785,25622,1880,497
2016,Despesa,Município,FE município,1.036789716146526,0.020195853085143788,2.0516572241227666,1.9961302260550657,2.108728834598097,0.0,0.3250604043531198,25622,497,497
2016,Despesa,Lista,FE lista eleitoral,1.069778589537084,0.030844238996757596,2.099111191850007,2.0129675019897726,2.1889413472370824,1.409072661446082e-263,0.3399519700792589,25622,1880,497
2020,Receita,Município,FE município,0.8851503267211436,0.01957574039559706,1.846957061667289,1.798484686611541,1.8967358538201833,0.0,0.23754064579843448,30311,497,497
2020,Receita,Lista,FE lista eleitoral,0.9335014461321606,0.021481446243729475,1.9099057502747785,1.8549725160325605,1.966465779630255,0.0,0.20942915899699788,30311,3025,497
2020,Despesa,Município,FE município,0.8441155277177382,0.030296256178714006,1.7951638481923038,1.7227756835130237,1.8705936429780345,7.698686179437396e-171,0.22926161507491616,30311,497,497
2020,Despesa,Lista,FE lista eleitoral,0.8509190342716675,0.033586643360874545,1.803649531008767,1.7231988751920582,1.8878561711837047,1.3136100511952007e-141,0.20484177010694993,30311,3025,497
2024,Receita,Município,FE município,0.778996678529665,0.014771885679122194,1.7159371103060816,1.6818438699687357,1.7507214665415531,0.0,0.20813210594983167,26041,497,497
2024,Receita,Lista,FE lista eleitoral,0.8132051959038099,0.015704188025129632,1.75711083426933,1.720019579168932,1.7950019414304748,0.0,0.18470642937225767,26041,2934,497
2024,Despesa,Município,FE município,0.73947234754435,0.012968575237295929,1.6695650990823756,1.6404071534684481,1.6992413219975373,0.0,0.20756299463875194,26041,497,497
2024,Despesa,Lista,FE lista eleitoral,0.7623096073004488,0.012733975372173663,1.6962039013808505,1.6671119824146603,1.7258034885529339,0.0,0.1872070075172788,26041,2934,497
