ano,fold,modelo,auc
2016,1,Somente dinheiro,0.97265625
2016,1,Votos correntes + lista,1.0
2016,1,Votos correntes + lista + dinheiro,1.0
2016,2,Somente dinheiro,0.9587301587301588
2016,2,Votos correntes + lista,0.9809523809523809
2016,2,Votos correntes + lista + dinheiro,0.9746031746031746
2016,3,Somente dinheiro,0.9444444444444444
2016,3,Votos correntes + lista,1.0
2016,3,Votos correntes + lista + dinheiro,0.9841269841269842
2016,4,Somente dinheiro,0.9484126984126984
2016,4,Votos correntes + lista,0.988095238095238
2016,4,Votos correntes + lista + dinheiro,0.9682539682539683
2016,5,Somente dinheiro,0.9563492063492063
2016,5,Votos correntes + lista,0.988095238095238
2016,5,Votos correntes + lista + dinheiro,0.9841269841269841
2016,6,Somente dinheiro,0.9453125
2016,6,Votos correntes + lista,1.0
2016,6,Votos correntes + lista + dinheiro,0.98828125
2016,7,Somente dinheiro,0.9777777777777777
2016,7,Votos correntes + lista,0.9777777777777777
2016,7,Votos correntes + lista + dinheiro,0.9873015873015873
2016,8,Somente dinheiro,1.0
2016,8,Votos correntes + lista,1.0
2016,8,Votos correntes + lista + dinheiro,1.0
2016,9,Somente dinheiro,0.9682539682539683
2016,9,Votos correntes + lista,0.9920634920634921
2016,9,Votos correntes + lista + dinheiro,0.9841269841269841
2016,10,Somente dinheiro,0.888888888888889
2016,10,Votos correntes + lista,0.9841269841269842
2016,10,Votos correntes + lista + dinheiro,0.9603174603174603
2016,11,Somente dinheiro,0.96875
2016,11,Votos correntes + lista,1.0
2016,11,Votos correntes + lista + dinheiro,0.99609375
2016,12,Somente dinheiro,0.965079365079365
2016,12,Votos correntes + lista,0.9968253968253967
2016,12,Votos correntes + lista + dinheiro,0.9809523809523809
2016,13,Somente dinheiro,0.9682539682539683
2016,13,Votos correntes + lista,1.0
2016,13,Votos correntes + lista + dinheiro,0.9920634920634921
2016,14,Somente dinheiro,0.9126984126984127
2016,14,Votos correntes + lista,0.9841269841269841
2016,14,Votos correntes + lista + dinheiro,0.9603174603174603
2016,15,Somente dinheiro,0.9841269841269842
2016,15,Votos correntes + lista,0.9920634920634921
2016,15,Votos correntes + lista + dinheiro,0.9920634920634921
2016,16,Somente dinheiro,0.88671875
2016,16,Votos correntes + lista,0.9921875
2016,16,Votos correntes + lista + dinheiro,0.96484375
2016,17,Somente dinheiro,0.9873015873015873
2016,17,Votos correntes + lista,1.0
2016,17,Votos correntes + lista + dinheiro,0.9968253968253968
2016,18,Somente dinheiro,0.9761904761904762
2016,18,Votos correntes + lista,0.9841269841269842
2016,18,Votos correntes + lista + dinheiro,0.9960317460317459
2016,19,Somente dinheiro,0.9047619047619048
2016,19,Votos correntes + lista,0.9960317460317459
2016,19,Votos correntes + lista + dinheiro,0.9801587301587301
2016,20,Somente dinheiro,0.992063492063492
2016,20,Votos correntes + lista,1.0
2016,20,Votos correntes + lista + dinheiro,1.0
2016,21,Somente dinheiro,0.8984375
2016,21,Votos correntes + lista,0.9921875
2016,21,Votos correntes + lista + dinheiro,0.9765625
2016,22,Somente dinheiro,0.9746031746031747
2016,22,Votos correntes + lista,1.0
2016,22,Votos correntes + lista + dinheiro,0.9841269841269841
2016,23,Somente dinheiro,0.9523809523809523
2016,23,Votos correntes + lista,0.9801587301587301
2016,23,Votos correntes + lista + dinheiro,0.9761904761904762
2016,24,Somente dinheiro,0.9523809523809524
2016,24,Votos correntes + lista,0.9880952380952381
2016,24,Votos correntes + lista + dinheiro,0.9801587301587301
2016,25,Somente dinheiro,0.9761904761904762
2016,25,Votos correntes + lista,0.996031746031746
2016,25,Votos correntes + lista + dinheiro,1.0
2016,26,Somente dinheiro,0.91796875
2016,26,Votos correntes + lista,1.0
2016,26,Votos correntes + lista + dinheiro,0.96484375
2016,27,Somente dinheiro,0.9809523809523809
2016,27,Votos correntes + lista,1.0
2016,27,Votos correntes + lista + dinheiro,0.9904761904761905
2016,28,Somente dinheiro,0.9841269841269841
2016,28,Votos correntes + lista,0.992063492063492
2016,28,Votos correntes + lista + dinheiro,0.9920634920634921
2016,29,Somente dinheiro,0.9761904761904763
2016,29,Votos correntes + lista,0.9999999999999999
2016,29,Votos correntes + lista + dinheiro,0.9920634920634921
2016,30,Somente dinheiro,0.8928571428571429
2016,30,Votos correntes + lista,0.9841269841269842
2016,30,Votos correntes + lista + dinheiro,0.9642857142857142
2016,31,Somente dinheiro,0.9609375
2016,31,Votos correntes + lista,1.0
2016,31,Votos correntes + lista + dinheiro,0.9921875
2016,32,Somente dinheiro,0.9555555555555555
2016,32,Votos correntes + lista,0.9904761904761904
2016,32,Votos correntes + lista + dinheiro,0.9682539682539683
2016,33,Somente dinheiro,0.9166666666666666
2016,33,Votos correntes + lista,0.976190476190476
2016,33,Votos correntes + lista + dinheiro,0.9603174603174603
2016,34,Somente dinheiro,0.9682539682539683
2016,34,Votos correntes + lista,0.988095238095238
2016,34,Votos correntes + lista + dinheiro,0.9880952380952381
2016,35,Somente dinheiro,0.9722222222222222
2016,35,Votos correntes + lista,1.0
2016,35,Votos correntes + lista + dinheiro,0.9960317460317459
2016,36,Somente dinheiro,1.0
2016,36,Votos correntes + lista,0.99609375
2016,36,Votos correntes + lista + dinheiro,1.0
2016,37,Somente dinheiro,0.946031746031746
2016,37,Votos correntes + lista,1.0
