ano,codigo_municipio,SG_PARTIDO,lista_id,municipio_partido,votos_legenda_validos,votos_nominais_convertidos_legenda,total_votos_legenda_validos,votos_nominais_validos_partido,votos_validos_partido,partido_normalizado,fracao_votos_partido
2016,84735,PDT,COLIGACAO:210000001232,ÁUREA,14,0,14,465,479,PDT,0.1739288307915759
2016,84735,PMDB,COLIGACAO:210000001232,ÁUREA,8,0,8,399,407,PMDB,0.14778503994190267
2016,84735,PP,COLIGACAO:210000001232,ÁUREA,48,0,48,537,585,PP,0.21241830065359477
2016,84735,PRB,COLIGACAO:210000001232,ÁUREA,4,0,4,22,26,PRB,0.00944081336238199
2016,84735,PT,COLIGACAO:210000002148,ÁUREA,40,0,40,454,494,PT,0.1793754538852578
2016,84735,PTB,COLIGACAO:210000002148,ÁUREA,10,0,10,753,763,PTB,0.27705156136528686
2016,84743,PDT,COLIGACAO:210000000700,TRÊS ARROIOS,30,93,123,433,556,PDT,0.24247710423026603
2016,84743,PMDB,COLIGACAO:210000000700,TRÊS ARROIOS,18,0,18,548,566,PMDB,0.24683820322721325
2016,84743,PP,COLIGACAO:210000000700,TRÊS ARROIOS,4,0,4,44,48,PP,0.020933275185346708
2016,84743,PRB,COLIGACAO:210000000272,TRÊS ARROIOS,4,0,4,63,67,PRB,0.029219363279546447
2016,84743,PSC,COLIGACAO:210000000272,TRÊS ARROIOS,1,0,1,7,8,PSC,0.0034888791975577847
2016,84743,PSD,COLIGACAO:210000000700,TRÊS ARROIOS,5,0,5,278,283,PSD,0.12341910161360663
2016,84743,PSDB,COLIGACAO:210000000272,TRÊS ARROIOS,1,0,1,126,127,PSDB,0.05538595726122983
2016,84743,PT,COLIGACAO:210000000272,TRÊS ARROIOS,6,0,6,241,247,PT,0.1077191452245966
2016,84743,PTB,COLIGACAO:210000000272,TRÊS ARROIOS,23,0,23,368,391,PTB,0.1705189707806367
2016,84751,DEM,COLIGACAO:210000000257,NOVA ROMA DO SUL,0,0,0,0,0,DEM,0.0
2016,84751,PMDB,COLIGACAO:210000000257,NOVA ROMA DO SUL,30,0,30,1200,1230,PMDB,0.4381902386889918
2016,84751,PP,COLIGACAO:210000000322,NOVA ROMA DO SUL,30,0,30,561,591,PP,0.21054506590666192
2016,84751,PSDB,COLIGACAO:210000000322,NOVA ROMA DO SUL,1,0,1,80,81,PSDB,0.028856430352689703
2016,84751,PT,COLIGACAO:210000000322,NOVA ROMA DO SUL,5,0,5,773,778,PT,0.2771642322764517
